"","DraftIndex","Pk","Tm","Player","College","Yrs","G","MP...8","PTS...9","TRB...10","AST...11","FG%","3P%","FT%","MP...15","PTS...16","TRB...17","AST...18","WS","WS/48","BPM","VORP","LBPY","PickLBPY","YearLBPY","DraftLBPY"
"222",4,42,"POR","Derrick Byars","Vanderbilt","1",2,37,10,11,1,0.273,0,1,18.5,5,5.5,0.5,0.1,0.147,-4.7,0,-0.76,0.466616407429359,-0.124237726235714,0.342378681193645
"223",4,43,"NOP","Adam Haluska","Iowa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224",4,44,"ORL","Reyshawn Terry","UNC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225",4,45,"LAC","Jared Jordan","Marist College",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226",4,46,"GSW","Stephane Lasme","UMass","1",16,303,83,53,3,0.451,NA,0.594,18.9,5.2,3.3,0.2,0.3,0.041,-4.4,-0.2,NA,NA,NA,NA
"227",4,47,"WAS","Dominic McGuire","Fresno State","6",342,5348,939,1169,422,0.419,0.188,0.658,15.6,2.7,3.4,1.2,4.1,0.037,-2.1,-0.1,-1.8225,-0.734183624314407,-0.87917258125367,-1.61335620556808
"228",4,48,"LAL","Marc Gasol",NA,"13",891,28719,12514,6604,2996,0.481,0.36,0.776,32.2,14,7.4,3.4,85.3,0.143,3.1,36.5,2.26083333333333,3.09939310868943,2.02214568508985,5.12153879377928
"229",4,49,"CHI","Aaron Gray","Pitt","7",318,3851,1066,1190,207,0.509,0,0.562,12.1,3.4,3.7,0.7,6.2,0.077,-3.6,-1.5,-1.694,-0.736395633574346,-0.787869871729146,-1.52426550530349
"230",4,50,"DAL","Renaldas Seibutis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231",4,51,"CHI","JamesOn Curry","Oklahoma State","1",1,0,0,0,0,NA,NA,NA,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA
"232",4,52,"POR","Taurean Green","Florida","1",17,74,27,10,11,0.28,0.182,0.917,4.4,1.6,0.6,0.6,-0.1,-0.066,-7.5,-0.1,NA,NA,NA,NA
"233",4,53,"POR","Demetris Nichols","Syracuse","2",18,58,22,7,2,0.281,0.2,0.5,3.2,1.2,0.4,0.1,-0.2,-0.203,-10.3,-0.1,NA,NA,NA,NA
"234",4,54,"HOU","Brad Newley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235",4,55,"UTA","Herbert Hill","Providence",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236",4,56,"MIL","Ramon Sessions","Nevada","11",691,16119,7141,1840,2807,0.434,0.316,0.791,23.3,10.3,2.7,4.1,28.8,0.086,-0.7,5.2,-1.33888888888889,-0.0989669960807426,-0.535553866852033,-0.634520862932776
"237",4,57,"DET","Sammy Mejia","DePaul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238",4,58,"SAS","Georgios Printezis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239",4,59,"PHO","D.J. Strawberry","Maryland","1",33,270,73,28,30,0.315,0.24,0.474,8.2,2.2,0.8,0.9,-0.2,-0.031,-5.6,-0.2,NA,NA,NA,NA
"240",4,60,"DAL","Milovan Rakovic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241",5,1,"CHI","Derrick Rose","Memphis","15",723,22054,12573,2324,3770,0.456,0.316,0.831,30.5,17.4,3.2,5.2,44.6,0.097,1.2,18.2,-0.325714285714286,-0.72569849161505,0.197216425389797,-0.528482066225252
"242",5,2,"MIA","Michael Beasley","Kansas State","11",609,13903,7568,2861,788,0.465,0.349,0.759,22.8,12.4,4.7,1.3,15.6,0.054,-1.7,0.9,-1.593,-0.743000111804743,-0.840962857846754,-1.5839629696515
"243",5,3,"MIN","O.J. Mayo","USC","8",547,16919,7574,1706,1607,0.429,0.373,0.82,30.9,13.8,3.1,2.9,21.8,0.062,-0.9,4.7,-0.9225,-0.658428700489384,-0.291679297270635,-0.950107997760019
"244",5,4,"OKC","Russell Westbrook","UCLA","16",1162,39081,25211,8307,9468,0.438,0.304,0.776,33.6,21.7,7.1,8.1,110.6,0.136,3.9,57.9,2.73466666666667,1.45320745807915,2.70432596490232,4.15753342298146
"245",5,5,"MEM","Kevin Love","UCLA","16",929,27254,15299,9403,2151,0.439,0.369,0.829,29.3,16.5,10.1,2.3,94.5,0.166,3.3,36.2,2.382,1.86985092595978,2.41541619254858,4.28526711850837
"246",5,6,"NYK","Danilo Gallinari",NA,"14",777,22410,11607,3618,1469,0.428,0.381,0.876,28.8,14.9,4.7,1.9,65.4,0.14,1.7,20.8,1.40833333333333,1.36111808763206,1.61777399496328,2.97889208259534
"247",5,7,"LAC","Eric Gordon","Indiana","16",886,28116,13868,2067,2443,0.43,0.371,0.811,31.7,15.7,2.3,2.8,41.1,0.07,-0.7,8.9,-0.478,0.12703732887486,0.0724617059748317,0.199499034849691
"248",5,8,"MIL","Joe Alexander","West Virginia","2",67,745,282,120,44,0.41,0.34,0.698,11.1,4.2,1.8,0.7,0.5,0.03,-3.6,-0.3,-0.16,0.498826498576039,0.332972030006459,0.831798528582497
"249",5,9,"CHA","D.J. Augustin","Texas","14",976,22851,9259,1805,3761,0.412,0.381,0.867,23.4,9.5,1.8,3.9,47.7,0.1,-0.7,7.6,-1.5925,-0.943885902114311,-0.840553250419031,-1.78443915253334
"250",5,10,"NOP","Brook Lopez","Stanford","16",1025,30976,16476,6336,1472,0.496,0.349,0.796,30.2,16.1,6.2,1.4,85.3,0.132,1.3,26,1.294,1.28028772911805,1.52411042982402,2.80439815894208
